Ticker,Date,V,P
XRAY,2002-08-06,28.29,17.96
XRAY,2002-08-07,31.70,18.24
XRAY,2002-08-08,35.39,18.87
XRAY,2002-08-09,32.55,18.63
XRAY,2002-08-12,20.90,18.79
XRAY,2002-08-13,33.39,18.69
XRAY,2002-08-14,43.76,19.42
XRAY,2002-08-15,35.58,19.44
XRAY,2002-08-16,21.22,19.18
XRAY,2002-08-19,21.48,19.75
XRAY,2002-08-20,26.12,19.78
XRAY,2002-08-21,44.75,19.65
XRAY,2002-08-22,48.36,19.14
XRAY,2002-08-23,32.32,18.62
XRAY,2002-08-26,32.88,18.86
XRAY,2002-08-27,22.84,18.82
XRAY,2002-08-28,14.03,18.63
XRAY,2002-08-29,20.11,18.42
XRAY,2002-08-30,10.35,18.30
XRAY,2002-09-03,21.04,18.15
XRAY,2002-09-04,24.19,18.44
XRAY,2002-09-05,27.50,18.28
XRAY,2002-09-06,31.15,18.26
XRAY,2002-09-09,11.04,18.48
XRAY,2002-09-10,21.65,18.89
XRAY,2002-09-11,47.41,19.05
XRAY,2002-09-12,19.51,18.53
XRAY,2002-09-13,16.01,18.47
XRAY,2002-09-16,14.44,18.67
XRAY,2002-09-17,21.32,18.47
XRAY,2002-09-18,16.13,18.74
XRAY,2002-09-19,15.80,18.20
XRAY,2002-09-20,29.13,18.19
XRAY,2002-09-23,14.06,18.21
XRAY,2002-09-24,12.85,17.84
XRAY,2002-09-25,26.22,18.23
XRAY,2002-09-26,14.49,18.56
XRAY,2002-09-27,34.45,18.58
XRAY,2002-09-30,27.84,18.55
XRAY,2002-10-01,36.14,18.78
XRAY,2002-10-02,30.11,18.88
XRAY,2002-10-03,29.74,19.18
XRAY,2002-10-04,35.90,19.17
XRAY,2002-10-07,14.36,19.19
XRAY,2002-10-08,39.70,19.41
XRAY,2002-10-09,30.11,19.33
XRAY,2002-10-10,58.89,18.89
