Date,Open,High,Low,Close,Adj Close,Volume
2016-08-02,282.859985,283.290009,279.000000,279.799988,274.135651,1045000
2016-08-03,279.679993,281.600006,278.910004,281.600006,275.899231,865700
2016-08-04,281.750000,282.820007,281.140015,281.640015,275.938416,968400
2016-08-05,283.000000,284.760010,282.640015,284.359985,278.603302,1411700
2016-08-08,284.359985,285.420013,284.149994,284.420013,278.662140,873100
2016-08-09,284.600006,285.040009,284.010010,284.320007,278.564148,749900
2016-08-10,284.239990,284.720001,282.920013,283.470001,277.731354,1060200
2016-08-11,284.220001,284.730011,283.200012,284.130005,278.377991,1154600
2016-08-12,283.660004,284.519989,282.910004,283.630005,277.888092,840600
2016-08-15,284.200012,286.320007,284.160004,285.760010,279.975006,898800
2016-08-16,284.859985,285.000000,282.880005,283.019989,277.290436,916800
2016-08-17,283.089996,283.260010,280.790009,282.510010,276.790771,1122800
2016-08-18,282.459991,284.529999,282.450012,284.450012,278.691528,1290400
2016-08-19,283.589996,284.829987,282.989990,284.529999,278.769897,828600
2016-08-22,284.200012,284.890015,283.420013,284.799988,279.034393,628300
2016-08-23,285.980011,287.079987,285.920013,286.209991,280.415863,1701300
2016-08-24,286.109985,286.200012,283.850006,284.779999,279.014832,1014800
2016-08-25,283.730011,285.899994,283.619995,285.170013,279.396942,949800
2016-08-26,285.640015,287.239990,282.779999,284.070007,278.319214,1232000
2016-08-29,284.480011,286.980011,284.480011,286.269989,280.474701,1980100
2016-08-30,286.510010,286.829987,284.959991,286.190002,280.396271,662300
2016-08-31,285.820007,286.079987,283.730011,285.079987,279.308716,1038100
2016-09-01,285.260010,285.940002,282.940002,284.950012,279.181396,884400
2016-09-02,286.339996,287.890015,286.279999,287.890015,282.061859,1834000
2016-09-06,288.059998,288.269989,286.130005,287.269989,281.454407,777800
2016-09-07,286.950012,288.399994,286.609985,288.350006,282.512573,912600
2016-09-08,287.760010,287.929993,286.890015,287.000000,281.189911,817000
2016-09-09,284.640015,284.929993,278.549988,278.549988,272.910919,2624600
2016-09-12,277.329987,282.260010,276.940002,281.899994,276.193115,1652000
2016-09-13,279.549988,280.309998,275.519989,276.779999,271.176788,2946200
2016-09-14,277.049988,277.980011,275.380005,276.000000,270.412598,1065900
2016-09-15,275.899994,279.339996,275.559998,278.859985,273.214722,749800
