Ticker,Date,V,P,AV,R,DRSD,YR,Y,pr_0,pr_1,pr_2,Y_pred,Y_mom,Y_rev,Y_rand3,Y_rand2
EXC,2015-03-12,230.7000,29.7100,267.0775,-0.0459,0.0171,0.0212,1,0.2635,0.1379,0.5986,2,0,2,2,2
EXPD,2015-03-12,51.9700,46.4300,60.3045,0.0706,0.0137,-0.0289,0,0.2918,0.3283,0.3799,2,2,0,0,2
F,2015-03-12,504.0600,13.9000,396.6085,-0.0050,0.0120,-0.0086,0,0.4192,0.5106,0.0702,1,1,1,1,2
FAST,2015-03-12,143.5000,37.9300,171.0680,-0.0284,0.0114,-0.0240,0,0.4175,0.3231,0.2594,0,0,2,2,2
FCX,2015-03-12,259.0700,18.7100,325.2690,0.0157,0.0264,-0.0310,0,0.5641,0.1609,0.2750,0,1,1,2,0
FDX,2015-03-12,171.4900,170.1000,253.2630,-0.0008,0.0092,0.0046,1,0.2626,0.4199,0.3175,1,1,1,2,0
FE,2015-03-12,144.2900,30.7800,152.5560,-0.0642,0.0126,0.0315,1,0.3196,0.2890,0.3915,2,0,2,0,2
FFIV,2015-03-12,114.7200,113.0400,104.4340,-0.0064,0.0110,0.0069,1,0.4651,0.3588,0.1761,0,1,1,1,0
FIS,2015-03-12,72.0400,63.6100,66.5680,0.0168,0.0116,-0.0074,0,0.4417,0.4362,0.1220,0,1,1,2,0
FISV,2015-03-12,68.6900,78.2400,87.1860,0.0071,0.0075,0.0105,1,0.4476,0.3430,0.2094,0,1,1,0,0
FITB,2015-03-12,293.7700,17.9400,145.6745,0.0246,0.0100,-0.0033,0,0.3143,0.3472,0.3384,1,1,1,1,2
FL,2015-03-12,109.2500,58.3200,131.2895,0.1519,0.0127,0.0086,1,0.1993,0.3598,0.4409,2,2,0,2,2
FLIR,2015-03-12,15.1900,30.3300,20.4675,-0.0344,0.0115,-0.0099,0,0.2400,0.5429,0.2172,1,0,2,2,2
FLR,2015-03-12,62.2000,55.4600,102.5295,0.0472,0.0120,0.0213,1,0.2935,0.4577,0.2488,1,2,0,1,0
FLS,2015-03-12,41.5100,55.3700,102.7930,0.0175,0.0140,-0.0368,0,0.2496,0.4050,0.3455,1,1,1,0,0
FMC,2015-03-12,39.4000,58.4800,53.4535,-0.0208,0.0116,-0.0340,0,0.1825,0.1374,0.6801,2,0,2,2,2
FOX,2015-03-12,130.2300,32.4500,85.8180,0.0019,0.0093,-0.0031,0,0.2121,0.5690,0.2189,1,1,1,2,0
FOXA,2015-03-12,390.5500,33.5100,480.2525,-0.0027,0.0100,-0.0069,0,0.3106,0.5092,0.1802,1,1,1,0,2
FRT,2015-03-12,45.6000,130.9800,45.5510,-0.0079,0.0130,0.0152,1,0.4001,0.2640,0.3359,0,1,1,1,0
FTI,2015-03-12,126.4000,36.4600,153.3235,-0.1046,0.0195,0.0609,2,0.4206,0.2878,0.2916,0,0,2,0,2
GD,2015-03-12,203.1900,126.7200,169.4855,-0.0258,0.0106,0.0219,1,0.4305,0.2457,0.3238,0,0,2,1,0
GE,2015-03-12,745.9900,23.4100,918.1990,0.0349,0.0091,0.1226,2,0.4055,0.3588,0.2357,0,2,0,1,0
GGP,2015-03-12,224.2100,26.8700,144.2165,-0.0056,0.0132,-0.0145,0,0.4297,0.3437,0.2266,0,1,1,1,2
GILD,2015-03-12,835.1000,94.4500,918.8610,-0.0005,0.0108,0.0184,1,0.2806,0.4060,0.3133,1,1,1,1,0
GIS,2015-03-12,131.6100,48.2100,132.6520,-0.0101,0.0087,0.0819,2,0.2999,0.2822,0.4180,2,1,1,2,2
GLW,2015-03-12,239.4900,21.6500,174.6065,-0.0533,0.0123,-0.0305,0,0.3593,0.2192,0.4215,2,0,2,1,2
GPC,2015-03-12,73.3300,88.2600,66.7025,-0.0113,0.0099,-0.0153,0,0.2439,0.5540,0.2021,1,1,1,0,0
GPN,2015-03-12,37.1300,45.1600,33.7180,-0.0022,0.0105,0.1021,2,0.2470,0.3073,0.4458,2,1,1,1,0
GPS,2015-03-12,124.2400,37.6600,190.8015,0.0045,0.0117,-0.0016,0,0.3412,0.3572,0.3016,1,1,1,1,0
GRMN,2015-03-12,116.1500,42.4200,120.4695,-0.0949,0.0279,-0.0413,0,0.4402,0.2526,0.3072,0,0,2,1,2
GS,2015-03-12,591.6500,183.4700,436.1850,0.0154,0.0126,0.0299,1,0.3449,0.3388,0.3162,0,1,1,0,2
GT,2015-03-12,64.0200,24.7000,92.5085,-0.0202,0.0160,0.0879,2,0.4145,0.4858,0.0997,1,0,2,1,2
GWW,2015-03-12,139.7300,218.9100,165.0995,-0.0248,0.0109,0.0130,1,0.4554,0.3104,0.2342,0,0,2,1,2
HAL,2015-03-12,456.8900,39.1200,580.5045,-0.0235,0.0134,0.1286,2,0.3950,0.3434,0.2616,0,0,2,0,0
HAS,2015-03-12,72.9800,57.7600,62.8370,0.0080,0.0080,0.0409,2,0.1795,0.3834,0.4372,2,1,1,1,2
HBAN,2015-03-12,94.5600,10.4600,90.2675,0.0663,0.0132,-0.0076,0,0.1808,0.5888,0.2304,1,2,0,2,2
HCN,2015-03-12,152.8900,64.8500,252.5900,-0.0251,0.0166,0.0119,1,0.1970,0.6470,0.1559,1,0,2,1,2
HCP,2015-03-12,564.6500,34.5600,158.9455,-0.0529,0.0146,0.0570,2,0.3223,0.3758,0.3019,1,0,2,2,2
HD,2015-03-12,666.6500,110.0300,649.3025,0.0580,0.0139,-0.0075,0,0.1899,0.5622,0.2479,1,2,0,2,0
HES,2015-03-12,154.0700,65.2900,213.7760,-0.0553,0.0142,0.0671,2,0.3157,0.4209,0.2634,1,0,2,0,0
HIG,2015-03-12,106.6900,40.3400,113.6675,0.0467,0.0098,0.0069,1,0.3064,0.4170,0.2766,1,2,0,1,0
HOG,2015-03-12,272.6700,56.8300,110.0315,-0.0257,0.0134,0.0273,1,0.4690,0.2730,0.2580,0,0,2,1,0
HOLX,2015-03-12,20.4700,32.2500,53.3965,0.0732,0.0081,0.0326,2,0.6467,0.2136,0.1397,0,2,0,0,2
HON,2015-03-12,266.8800,97.2000,257.3860,0.0053,0.0101,0.0218,1,0.4771,0.3054,0.2175,0,1,1,0,2
HP,2015-03-12,129.2400,56.2000,143.4025,-0.0312,0.0210,0.1550,2,0.1757,0.1162,0.7082,2,0,2,1,0
HPQ,2015-03-12,859.0700,13.7000,605.8905,-0.1389,0.0240,-0.0190,0,0.4850,0.2857,0.2294,0,0,2,0,0
HRB,2015-03-12,118.9200,29.6100,89.1310,-0.0787,0.0119,-0.0088,0,0.3974,0.3790,0.2236,0,0,2,2,2
HRL,2015-03-12,47.4900,26.6700,59.8510,0.0377,0.0136,0.0356,2,0.1920,0.3985,0.4095,2,2,0,1,2
